Pref,Year,MinimumWage,Employment,Vacancy
北海道,2013,734,4663,31626
北海道,2014,748,4059,30740
北海道,2015,764,4010,32018
北海道,2016,786,3845,34086
北海道,2017,810,3550,34752
北海道,2018,835,3348,35783
北海道,2019,861,2948,34487
北海道,2020,861,2324,30269
北海道,2021,889,2423,32960
青森,2013,665,1992,8658
青森,2014,679,1728,8429
青森,2015,695,1754,9390
青森,2016,716,1609,10193
青森,2017,738,1500,11002
青森,2018,762,1571,11269
青森,2019,790,1336,9888
青森,2020,793,1059,8432
青森,2021,822,1133,9158
岩手,2013,665,2005,10633
岩手,2014,678,1844,10055
岩手,2015,695,1836,9752
岩手,2016,716,1772,10397
岩手,2017,738,1662,10260
岩手,2018,762,1567,10692
岩手,2019,790,1279,11671
岩手,2020,793,1073,7953
岩手,2021,821,1140,9369
宮城,2013,696,2603,20503
宮城,2014,710,2373,18510
宮城,2015,726,2151,18104
宮城,2016,748,2056,20157
宮城,2017,772,1841,19990
宮城,2018,798,1836,20786
宮城,2019,824,1656,18022
宮城,2020,825,1361,14589
宮城,2021,853,1342,16027
秋田,2013,665,1516,6911
秋田,2014,679,1416,7015
秋田,2015,695,1321,7071
秋田,2016,716,1326,8487
秋田,2017,738,1228,9523
秋田,2018,762,1209,9118
秋田,2019,790,1165,7781
秋田,2020,792,900,7648
秋田,2021,822,861,7615
山形,2013,665,1627,8603
山形,2014,680,1448,8213
山形,2015,696,1389,7316
山形,2016,717,1346,8153
山形,2017,739,1403,9449
山形,2018,763,1362,9096
山形,2019,790,1166,8423
山形,2020,793,943,7336
山形,2021,822,954,8229
福島,2013,675,2295,15082
福島,2014,689,2002,14519
福島,2015,705,2093,14331
福島,2016,726,2150,14534
福島,2017,748,2086,15300
福島,2018,772,1939,15538
福島,2019,798,1740,14838
福島,2020,800,1390,11921
福島,2021,828,1463,12338
茨城,2013,713,2311,15954
茨城,2014,729,1963,16001
茨城,2015,747,1882,16417
茨城,2016,771,1939,17150
茨城,2017,796,1759,18169
茨城,2018,822,1668,19346
茨城,2019,849,1447,19366
茨城,2020,851,1136,16245
茨城,2021,879,1180,18250
栃木,2013,718,1842,11997
栃木,2014,733,1777,11064
栃木,2015,751,1665,11813
栃木,2016,775,1652,12861
栃木,2017,800,1615,14125
栃木,2018,826,1487,14097
栃木,2019,853,1316,13975
栃木,2020,854,1132,11658
栃木,2021,882,1055,13441
群馬,2013,707,1502,11915
群馬,2014,721,1320,11015
群馬,2015,737,1366,11326
群馬,2016,759,1335,13390
群馬,2017,783,1190,13693
群馬,2018,809,1198,15470
群馬,2019,835,1079,13205
群馬,2020,837,801,10963
群馬,2021,865,893,11760
埼玉,2013,785,3301,23620
埼玉,2014,802,2969,23452
埼玉,2015,820,3005,28117
埼玉,2016,845,2817,32318
埼玉,2017,871,2571,36657
埼玉,2018,898,2402,35323
埼玉,2019,926,2032,34744
埼玉,2020,928,1756,26679
埼玉,2021,956,1742,32496
千葉,2013,777,3151,24158
千葉,2014,798,2596,21761
千葉,2015,817,2686,25908
千葉,2016,842,2625,28673
千葉,2017,868,2513,29683
千葉,2018,895,2204,30435
千葉,2019,923,1884,28978
千葉,2020,925,1535,21726
千葉,2021,953,1455,23204
東京,2013,869,7402,108566
東京,2014,888,7044,105458
東京,2015,907,6890,122344
東京,2016,932,5969,126547
東京,2017,958,5691,125903
東京,2018,985,5349,123417
東京,2019,1013,4466,114126
東京,2020,1013,3216,79669
東京,2021,1041,3017,90954
神奈川,2013,868,3458,32270
神奈川,2014,887,3175,31770
神奈川,2015,905,3168,34059
神奈川,2016,930,3103,34461
神奈川,2017,956,2813,37487
神奈川,2018,983,2466,39376
神奈川,2019,1011,2131,36985
神奈川,2020,1012,1719,29185
神奈川,2021,1040,1789,31379
新潟,2013,701,2505,17529
新潟,2014,715,2215,16250
新潟,2015,731,2461,17050
新潟,2016,753,2292,17285
新潟,2017,778,2051,19420
新潟,2018,803,2136,20041
新潟,2019,830,1815,18262
新潟,2020,831,1552,14968
新潟,2021,859,1591,16813
富山,2013,712,1141,7520
富山,2014,728,948,7412
富山,2015,746,922,8341
富山,2016,770,910,8499
富山,2017,795,989,9051
富山,2018,821,966,9124
富山,2019,848,770,8237
富山,2020,849,642,6764
富山,2021,877,700,7724
石川,2013,704,1084,8897
石川,2014,718,969,8932
石川,2015,735,1073,9099
石川,2016,757,946,10106
石川,2017,781,895,10792
石川,2018,806,829,11267
石川,2019,832,696,9569
石川,2020,833,599,7359
石川,2021,861,620,8350
福井,2013,701,860,5988
福井,2014,716,759,5746
福井,2015,732,756,5999
福井,2016,754,692,6234
福井,2017,778,692,7105
福井,2018,803,635,7031
福井,2019,829,619,6702
福井,2020,830,531,5754
福井,2021,858,550,6453
山梨,2013,706,719,4743
山梨,2014,721,650,4414
山梨,2015,737,692,4811
山梨,2016,759,609,5442
山梨,2017,784,548,5794
山梨,2018,810,648,6089
山梨,2019,837,513,5420
山梨,2020,838,447,4957
山梨,2021,866,458,5433
長野,2013,713,2007,14229
長野,2014,728,1759,14545
長野,2015,746,1812,15999
長野,2016,770,1695,17233
長野,2017,795,1716,18493
長野,2018,821,1655,18192
長野,2019,848,1371,16124
長野,2020,849,1243,13434
長野,2021,877,1270,15447
岐阜,2013,724,1615,14278
岐阜,2014,738,1363,12933
岐阜,2015,754,1435,15095
岐阜,2016,776,1351,15047
岐阜,2017,800,1328,16164
岐阜,2018,825,1234,16934
岐阜,2019,851,1056,15547
岐阜,2020,852,837,12216
岐阜,2021,880,935,14089
静岡,2013,749,2799,21381
静岡,2014,765,2568,22148
静岡,2015,783,2520,23519
静岡,2016,807,2352,26240
静岡,2017,832,2187,27785
静岡,2018,858,2016,28068
静岡,2019,885,1715,24273
静岡,2020,885,1467,18982
静岡,2021,913,1472,22366
愛知,2013,780,3933,52295
愛知,2014,800,3392,49437
愛知,2015,820,3485,50435
愛知,2016,845,3375,50594
愛知,2017,871,3164,53063
愛知,2018,898,2870,54798
愛知,2019,926,2473,52623
愛知,2020,927,2130,36084
愛知,2021,955,2124,42415
三重,2013,737,1392,12244
三重,2014,753,1260,11657
三重,2015,771,1190,12150
三重,2016,795,1119,12071
三重,2017,820,1060,12440
三重,2018,846,960,13606
三重,2019,873,904,12150
三重,2020,874,743,10010
三重,2021,902,803,11651
滋賀,2013,730,1213,8318
滋賀,2014,746,1028,7237
滋賀,2015,764,1094,8093
滋賀,2016,788,1074,9083
滋賀,2017,813,972,9594
滋賀,2018,839,976,9741
滋賀,2019,866,832,8803
滋賀,2020,868,718,7390
滋賀,2021,896,667,7834
京都,2013,773,2000,17542
京都,2014,789,1732,17507
京都,2015,807,1760,18224
京都,2016,831,1670,20058
京都,2017,856,1519,19581
京都,2018,882,1474,20898
京都,2019,909,1243,19788
京都,2020,909,1005,14817
京都,2021,937,1016,18212
大阪,2013,819,7891,64353
大阪,2014,838,6778,59162
大阪,2015,858,5906,65936
大阪,2016,883,5658,72818
大阪,2017,909,5274,79858
大阪,2018,936,4952,84708
大阪,2019,964,4186,79139
大阪,2020,964,2935,61032
大阪,2021,992,3060,67765
兵庫,2013,761,4268,26511
兵庫,2014,776,3499,26347
兵庫,2015,794,3333,28950
兵庫,2016,819,3182,31741
兵庫,2017,844,3056,35098
兵庫,2018,871,2879,36945
兵庫,2019,899,2401,34448
兵庫,2020,900,1873,25984
兵庫,2021,928,2005,26540
奈良,2013,710,965,7281
奈良,2014,724,798,5661
奈良,2015,740,838,7832
奈良,2016,762,838,8439
奈良,2017,786,739,8757
奈良,2018,811,691,8844
奈良,2019,837,626,8695
奈良,2020,838,524,7573
奈良,2021,866,527,7496
和歌山,2013,701,816,5823
和歌山,2014,715,777,5230
和歌山,2015,731,746,6065
和歌山,2016,753,734,5937
和歌山,2017,777,631,6449
和歌山,2018,803,665,6994
和歌山,2019,830,539,6533
和歌山,2020,831,468,5516
和歌山,2021,859,531,6274
鳥取,2013,664,731,4901
鳥取,2014,677,730,4288
鳥取,2015,693,643,4923
鳥取,2016,715,636,5090
鳥取,2017,738,610,5464
鳥取,2018,762,542,5606
鳥取,2019,790,479,5823
鳥取,2020,792,431,4232
鳥取,2021,821,434,4965
島根,2013,664,741,5296
島根,2014,679,640,5280
島根,2015,696,657,5433
島根,2016,718,688,6506
島根,2017,740,725,6824
島根,2018,764,660,7127
島根,2019,790,532,6321
島根,2020,792,558,5614
島根,2021,824,560,6421
岡山,2013,703,2105,17505
岡山,2014,719,1754,14197
岡山,2015,735,1756,15353
岡山,2016,757,1716,17445
岡山,2017,781,1674,17881
岡山,2018,807,1538,21225
岡山,2019,833,1339,18812
岡山,2020,834,1058,14951
岡山,2021,862,1095,15465
広島,2013,733,2494,20064
広島,2014,750,2145,20273
広島,2015,769,2216,22702
広島,2016,793,2175,24493
広島,2017,818,2009,28253
広島,2018,844,1941,29560
広島,2019,871,1694,26040
広島,2020,871,1371,19171
広島,2021,899,1459,23897
山口,2013,701,1418,8889
山口,2014,715,1170,8577
山口,2015,731,1171,9941
山口,2016,753,1079,10610
山口,2017,777,1112,10570
山口,2018,802,1041,10828
山口,2019,829,924,10289
山口,2020,829,830,8521
山口,2021,857,878,10113
徳島,2013,666,818,4923
徳島,2014,679,659,4875
徳島,2015,695,705,5175
徳島,2016,716,737,6195
徳島,2017,740,683,6230
徳島,2018,766,649,5884
徳島,2019,793,573,5211
徳島,2020,796,459,4611
徳島,2021,824,515,5158
香川,2013,686,1124,9424
香川,2014,702,938,7228
香川,2015,719,961,8282
香川,2016,742,962,8972
香川,2017,766,854,8975
香川,2018,792,779,9014
香川,2019,818,727,8603
香川,2020,820,660,7369
香川,2021,848,615,7837
愛媛,2013,666,1492,9709
愛媛,2014,680,1300,9056
愛媛,2015,696,1343,10476
愛媛,2016,717,1268,10897
愛媛,2017,739,1146,11321
愛媛,2018,764,1113,12584
愛媛,2019,790,969,11520
愛媛,2020,793,829,9852
愛媛,2021,821,869,11053
高知,2013,664,787,4707
高知,2014,677,807,4150
高知,2015,693,763,5103
高知,2016,715,694,5259
高知,2017,737,686,5454
高知,2018,762,634,5229
高知,2019,790,616,5240
高知,2020,792,500,4327
高知,2021,820,495,5105
福岡,2013,712,4737,30835
福岡,2014,727,4036,31516
福岡,2015,743,4251,34351
福岡,2016,765,4047,38140
福岡,2017,789,3694,42380
福岡,2018,814,3388,42205
福岡,2019,841,3038,39548
福岡,2020,842,2478,31213
福岡,2021,870,2562,35820
佐賀,2013,664,1016,5335
佐賀,2014,678,859,4923
佐賀,2015,694,917,5625
佐賀,2016,715,838,5791
佐賀,2017,737,823,6288
佐賀,2018,762,833,6130
佐賀,2019,790,750,6082
佐賀,2020,792,637,5553
佐賀,2021,821,675,6237
長崎,2013,664,1603,8418
長崎,2014,677,1427,7882
長崎,2015,694,1367,9149
長崎,2016,715,1365,10087
長崎,2017,737,1296,10135
長崎,2018,762,1288,9627
長崎,2019,790,1151,9038
長崎,2020,793,1006,7748
長崎,2021,821,1084,8847
熊本,2013,664,1858,11881
熊本,2014,677,1687,11573
熊本,2015,694,1591,11731
熊本,2016,715,1514,14340
熊本,2017,737,1380,14105
熊本,2018,762,1232,14033
熊本,2019,790,1214,13739
熊本,2020,793,1018,11220
熊本,2021,821,1053,12562
大分,2013,664,1495,7174
大分,2014,677,1243,7046
大分,2015,694,1352,7942
大分,2016,715,1175,8922
大分,2017,737,1224,8630
大分,2018,762,1099,9889
大分,2019,790,960,9028
大分,2020,792,879,7525
大分,2021,822,910,7948
宮崎,2013,664,1686,7214
宮崎,2014,677,1491,7657
宮崎,2015,693,1511,8171
宮崎,2016,714,1511,9913
宮崎,2017,737,1428,10369
宮崎,2018,762,1350,9963
宮崎,2019,790,1098,8921
宮崎,2020,793,886,8505
宮崎,2021,821,980,9502
鹿児島,2013,665,2134,10387
鹿児島,2014,678,1923,10497
鹿児島,2015,694,1957,11736
鹿児島,2016,715,1898,13315
鹿児島,2017,737,1879,14971
鹿児島,2018,761,1669,14953
鹿児島,2019,790,1502,14636
鹿児島,2020,793,1276,13257
鹿児島,2021,821,1399,14563
沖縄,2013,664,1276,6917
沖縄,2014,677,1104,6728
沖縄,2015,693,1118,7149
沖縄,2016,714,1161,8806
沖縄,2017,737,1105,9150
沖縄,2018,762,1056,9752
沖縄,2019,790,989,9985
沖縄,2020,792,786,7758
沖縄,2021,820,796,8491
